city,dates,host_team,match_id,player_of_match,result,season,toss_decision,toss_winner,venue,visiting_team,winner
Chandigarh,2011-04-13,Kings XI Punjab,185.0,PC Valthaty,1,2011,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab
Hyderabad,2011-04-14,Deccan Chargers,186.0,DW Steyn,1,2011,field,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,Deccan Chargers
Jaipur,2011-04-15,Rajasthan Royals,187.0,G Gambhir,1,2011,field,Kolkata Knight Riders,Sawai Mansingh Stadium,Kolkata Knight Riders,Kolkata Knight Riders
Mumbai,2011-04-15,Mumbai Indians,188.0,BB McCullum,1,2011,field,Kochi Tuskers Kerala,Wankhede Stadium,Kochi Tuskers Kerala,Kochi Tuskers Kerala
Chennai,2011-04-16,Chennai Super Kings,189.0,MEK Hussey,1,2011,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Chennai Super Kings
Hyderabad,2011-04-16,Deccan Chargers,190.0,PC Valthaty,1,2011,field,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,Kings XI Punjab
Mumbai,2011-04-17,Pune Warriors,191.0,Yuvraj Singh,1,2011,field,Delhi Daredevils,Dr DY Patil Sports Academy,Delhi Daredevils,Delhi Daredevils
Kolkata,2011-04-17,Kolkata Knight Riders,192.0,L Balaji,1,2011,field,Kolkata Knight Riders,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders
Kochi,2011-04-18,Kochi Tuskers Kerala,193.0,BB McCullum,1,2011,field,Kochi Tuskers Kerala,Nehru Stadium,Chennai Super Kings,Kochi Tuskers Kerala
Delhi,2011-04-19,Delhi Daredevils,194.0,S Sohal,1,2011,bat,Deccan Chargers,Feroz Shah Kotla,Deccan Chargers,Deccan Chargers
Mumbai,2011-04-20,Mumbai Indians,195.0,MM Patel,1,2011,bat,Pune Warriors,Wankhede Stadium,Pune Warriors,Mumbai Indians
Kolkata,2011-04-20,Kolkata Knight Riders,196.0,DPMD Jayawardene,1,2011,field,Kolkata Knight Riders,Eden Gardens,Kochi Tuskers Kerala,Kochi Tuskers Kerala
Chandigarh,2011-04-21,Kings XI Punjab,197.0,SE Marsh,1,2011,field,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,Kings XI Punjab
Kolkata,2011-04-22,Kolkata Knight Riders,198.0,CH Gayle,1,2011,field,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,Royal Challengers Bangalore
Mumbai,2011-04-22,Mumbai Indians,199.0,Harbhajan Singh,1,2011,field,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,Mumbai Indians
Delhi,2011-04-23,Delhi Daredevils,200.0,DA Warner,1,2011,field,Kings XI Punjab,Feroz Shah Kotla,Kings XI Punjab,Delhi Daredevils
Jaipur,2011-04-24,Rajasthan Royals,201.0,SK Warne,1,2011,field,Rajasthan Royals,Sawai Mansingh Stadium,Kochi Tuskers Kerala,Rajasthan Royals
Hyderabad,2011-04-24,Deccan Chargers,202.0,SL Malinga,1,2011,field,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Mumbai Indians
Chennai,2011-04-25,Chennai Super Kings,203.0,MEK Hussey,1,2011,field,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Pune Warriors,Chennai Super Kings
Delhi,2011-04-26,Delhi Daredevils,204.0,V Kohli,1,2011,field,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore,Royal Challengers Bangalore
Mumbai,2011-04-27,Pune Warriors,205.0,DE Bollinger,1,2011,bat,Pune Warriors,Dr DY Patil Sports Academy,Chennai Super Kings,Chennai Super Kings
Kochi,2011-04-27,Kochi Tuskers Kerala,206.0,I Sharma,1,2011,field,Kochi Tuskers Kerala,Nehru Stadium,Deccan Chargers,Deccan Chargers
Delhi,2011-04-28,Delhi Daredevils,207.0,MK Tiwary,1,2011,field,Delhi Daredevils,Feroz Shah Kotla,Kolkata Knight Riders,Kolkata Knight Riders
Bangalore,2011-04-29,Royal Challengers Bangalore,208.0,V Kohli,1,2011,field,Pune Warriors,M Chinnaswamy Stadium,Pune Warriors,Royal Challengers Bangalore
Jaipur,2011-04-29,Rajasthan Royals,209.0,J Botha,1,2011,field,Rajasthan Royals,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals
Kochi,2011-04-30,Kochi Tuskers Kerala,210.0,V Sehwag,1,2011,bat,Delhi Daredevils,Nehru Stadium,Delhi Daredevils,Delhi Daredevils
Kolkata,2011-04-30,Kolkata Knight Riders,211.0,Iqbal Abdulla,1,2011,field,Kolkata Knight Riders,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
Chennai,2011-05-01,Chennai Super Kings,212.0,JA Morkel,1,2011,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,Chennai Super Kings
Jaipur,2011-05-01,Rajasthan Royals,213.0,LRPL Taylor,1,2011,field,Rajasthan Royals,Sawai Mansingh Stadium,Pune Warriors,Rajasthan Royals
Mumbai,2011-05-02,Mumbai Indians,214.0,KA Pollard,1,2011,field,Kings XI Punjab,Wankhede Stadium,Kings XI Punjab,Mumbai Indians
Delhi,2011-05-02,Delhi Daredevils,215.0,P Parameswaran,1,2011,field,Kochi Tuskers Kerala,Feroz Shah Kotla,Kochi Tuskers Kerala,Kochi Tuskers Kerala
Hyderabad,2011-05-03,Deccan Chargers,216.0,YK Pathan,1,2011,field,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,Kolkata Knight Riders
Chennai,2011-05-04,Chennai Super Kings,217.0,MEK Hussey,1,2011,bat,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,Chennai Super Kings
Mumbai,2011-05-04,Pune Warriors,218.0,R Sharma,1,2011,field,Pune Warriors,Dr DY Patil Sports Academy,Mumbai Indians,Mumbai Indians
Kochi,2011-05-05,Kochi Tuskers Kerala,219.0,BJ Hodge,1,2011,field,Kolkata Knight Riders,Nehru Stadium,Kolkata Knight Riders,Kochi Tuskers Kerala
Hyderabad,2011-05-05,Deccan Chargers,220.0,V Sehwag,1,2011,field,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,Delhi Daredevils
Bangalore,2011-05-06,Royal Challengers Bangalore,221.0,CH Gayle,1,2011,field,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,Royal Challengers Bangalore
Kolkata,2011-05-07,Kolkata Knight Riders,222.0,Iqbal Abdulla,1,2011,bat,Chennai Super Kings,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders
Mumbai,2011-05-07,Mumbai Indians,223.0,AT Rayudu,1,2011,field,Delhi Daredevils,Wankhede Stadium,Delhi Daredevils,Mumbai Indians
Chandigarh,2011-05-08,Kings XI Punjab,224.0,R Sharma,1,2011,bat,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Pune Warriors,Pune Warriors
Bangalore,2011-05-08,Royal Challengers Bangalore,225.0,CH Gayle,1,2011,bat,Kochi Tuskers Kerala,M Chinnaswamy Stadium,Kochi Tuskers Kerala,Royal Challengers Bangalore
Jaipur,2011-05-09,Rajasthan Royals,226.0,M Vijay,1,2011,field,Rajasthan Royals,Sawai Mansingh Stadium,Chennai Super Kings,Chennai Super Kings
Chandigarh,2011-05-10,Kings XI Punjab,227.0,BA Bhatt,1,2011,field,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,Kings XI Punjab
Hyderabad,2011-05-10,Deccan Chargers,228.0,MR Marsh,1,2011,bat,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",Pune Warriors,Pune Warriors
Jaipur,2011-05-11,Rajasthan Royals,229.0,S Aravind,1,2011,field,Royal Challengers Bangalore,Sawai Mansingh Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore
Chennai,2011-05-12,Chennai Super Kings,230.0,MS Dhoni,1,2011,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,Chennai Super Kings
Indore,2011-05-13,Kochi Tuskers Kerala,231.0,KD Karthik,1,2011,field,Kings XI Punjab,Holkar Cricket Stadium,Kings XI Punjab,Kings XI Punjab
Mumbai,2011-05-14,Mumbai Indians,232.0,A Mishra,1,2011,bat,Deccan Chargers,Wankhede Stadium,Deccan Chargers,Deccan Chargers
Bangalore,2011-05-14,Royal Challengers Bangalore,233.0,CH Gayle,1,2011,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore
Dharamsala,2011-05-15,Kings XI Punjab,234.0,PP Chawla,1,2011,field,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,Delhi Daredevils,Kings XI Punjab
Indore,2011-05-15,Kochi Tuskers Kerala,235.0,BJ Hodge,1,2011,field,Kochi Tuskers Kerala,Holkar Cricket Stadium,Rajasthan Royals,Kochi Tuskers Kerala
Mumbai,2011-05-16,Pune Warriors,236.0,A Mishra,1,2011,field,Deccan Chargers,Dr DY Patil Sports Academy,Deccan Chargers,Deccan Chargers
Dharamsala,2011-05-17,Kings XI Punjab,237.0,AC Gilchrist,1,2011,bat,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Royal Challengers Bangalore,Kings XI Punjab
Chennai,2011-05-18,Chennai Super Kings,238.0,WP Saha,1,2011,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Kochi Tuskers Kerala,Chennai Super Kings
Mumbai,2011-05-19,Pune Warriors,239.0,YK Pathan,1,2011,field,Kolkata Knight Riders,Dr DY Patil Sports Academy,Kolkata Knight Riders,Kolkata Knight Riders
Mumbai,2011-05-20,Mumbai Indians,240.0,SR Watson,1,2011,bat,Mumbai Indians,Wankhede Stadium,Rajasthan Royals,Rajasthan Royals
Dharamsala,2011-05-21,Kings XI Punjab,241.0,S Dhawan,1,2011,field,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Deccan Chargers,Deccan Chargers
Delhi,2011-05-21,Delhi Daredevils,242.0,,0,2011,bat,Delhi Daredevils,Feroz Shah Kotla,Pune Warriors,no result
Bangalore,2011-05-22,Royal Challengers Bangalore,243.0,CH Gayle,1,2011,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore
Kolkata,2011-05-22,Kolkata Knight Riders,244.0,JEC Franklin,1,2011,field,Mumbai Indians,Eden Gardens,Mumbai Indians,Mumbai Indians
Mumbai,2011-05-24,Royal Challengers Bangalore,245.0,SK Raina,1,2011,field,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,Chennai Super Kings
Mumbai,2011-05-25,Mumbai Indians,246.0,MM Patel,1,2011,field,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
Chennai,2011-05-27,Royal Challengers Bangalore,247.0,CH Gayle,1,2011,field,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,Royal Challengers Bangalore
Chennai,2011-05-28,Chennai Super Kings,248.0,M Vijay,1,2011,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Chennai Super Kings
Chennai,2012-04-04,Chennai Super Kings,249.0,RE Levi,1,2012,field,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,Mumbai Indians
Kolkata,2012-04-05,Kolkata Knight Riders,250.0,IK Pathan,1,2012,field,Delhi Daredevils,Eden Gardens,Delhi Daredevils,Delhi Daredevils
Mumbai,2012-04-06,Mumbai Indians,251.0,SPD Smith,1,2012,field,Mumbai Indians,Wankhede Stadium,Pune Warriors,Pune Warriors
Jaipur,2012-04-06,Rajasthan Royals,252.0,AM Rahane,1,2012,field,Kings XI Punjab,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals
Visakhapatnam,2012-04-07,Deccan Chargers,253.0,RA Jadeja,1,2012,field,Deccan Chargers,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,Chennai Super Kings
Bangalore,2012-04-07,Royal Challengers Bangalore,254.0,AB de Villiers,1,2012,field,Delhi Daredevils,M Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore
Pune,2012-04-08,Pune Warriors,255.0,MN Samuels,1,2012,bat,Pune Warriors,Subrata Roy Sahara Stadium,Kings XI Punjab,Pune Warriors
Jaipur,2012-04-08,Rajasthan Royals,256.0,BJ Hodge,1,2012,field,Kolkata Knight Riders,Sawai Mansingh Stadium,Kolkata Knight Riders,Rajasthan Royals
Visakhapatnam,2012-04-09,Deccan Chargers,257.0,RG Sharma,1,2012,bat,Deccan Chargers,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,Mumbai Indians
Bangalore,2012-04-10,Royal Challengers Bangalore,258.0,L Balaji,1,2012,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Kolkata Knight Riders,Kolkata Knight Riders
Delhi,2012-04-10,Delhi Daredevils,259.0,M Morkel,1,2012,field,Delhi Daredevils,Feroz Shah Kotla,Chennai Super Kings,Delhi Daredevils
Mumbai,2012-04-11,Mumbai Indians,260.0,KA Pollard,1,2012,field,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,Mumbai Indians
Chennai,2012-04-12 00:00:00,Chennai Super Kings,261.0,F du Plessis,1,2012,bat,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Chennai Super Kings
Chandigarh,2012-04-12,Kings XI Punjab,262.0,AD Mascarenhas,1,2012,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Pune Warriors,Kings XI Punjab
Kolkata,2012-04-13,Kolkata Knight Riders,263.0,Shakib Al Hasan,1,2012,bat,Rajasthan Royals,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders
Pune,2012-04-14,Pune Warriors,264.0,JD Ryder,1,2012,bat,Chennai Super Kings,Subrata Roy Sahara Stadium,Chennai Super Kings,Pune Warriors
Kolkata,2012-04-15,Kolkata Knight Riders,265.0,SP Narine,1,2012,field,Kolkata Knight Riders,Eden Gardens,Kings XI Punjab,Kings XI Punjab
Bangalore,2012-04-15,Royal Challengers Bangalore,266.0,AM Rahane,1,2012,bat,Rajasthan Royals,M Chinnaswamy Stadium,Rajasthan Royals,Rajasthan Royals
Mumbai,2012-04-16,Mumbai Indians,267.0,S Nadeem,1,2012,field,Delhi Daredevils,Wankhede Stadium,Delhi Daredevils,Delhi Daredevils
Jaipur,2012-04-17,Rajasthan Royals,268.0,BJ Hodge,1,2012,bat,Deccan Chargers,Sawai Mansingh Stadium,Deccan Chargers,Rajasthan Royals
Bangalore,2012-04-17,Royal Challengers Bangalore,269.0,CH Gayle,1,2012,bat,Pune Warriors,M Chinnaswamy Stadium,Pune Warriors,Royal Challengers Bangalore
Chandigarh,2012-04-18,Kings XI Punjab,270.0,G Gambhir,1,2012,bat,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,Kolkata Knight Riders
Chennai,2012-04-19,Chennai Super Kings,271.0,KMDN Kulasekara,1,2012,field,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Pune Warriors,Chennai Super Kings
Delhi,2012-04-19,Delhi Daredevils,272.0,KP Pietersen,1,2012,bat,Deccan Chargers,Feroz Shah Kotla,Deccan Chargers,Delhi Daredevils
Chandigarh,2012-04-20,Kings XI Punjab,273.0,CH Gayle,1,2012,field,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,Royal Challengers Bangalore
Delhi,2012-04-21,Delhi Daredevils,274.0,SC Ganguly,1,2012,field,Delhi Daredevils,Feroz Shah Kotla,Pune Warriors,Pune Warriors
Chennai,2012-04-21,Chennai Super Kings,275.0,F du Plessis,1,2012,bat,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,Chennai Super Kings
Cuttack,2012-04-22,Deccan Chargers,276.0,B Lee,1,2012,field,Kolkata Knight Riders,Barabati Stadium,Kolkata Knight Riders,Kolkata Knight Riders
Mumbai,2012-04-22,Mumbai Indians,277.0,SE Marsh,1,2012,bat,Mumbai Indians,Wankhede Stadium,Kings XI Punjab,Kings XI Punjab
Jaipur,2012-04-23,Rajasthan Royals,278.0,AB de Villiers,1,2012,field,Rajasthan Royals,Sawai Mansingh Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore
Pune,2012-04-24,Pune Warriors,279.0,V Sehwag,1,2012,bat,Pune Warriors,Subrata Roy Sahara Stadium,Delhi Daredevils,Delhi Daredevils
Chandigarh,2012-04-25,Kings XI Punjab,280.0,AT Rayudu,1,2012,bat,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,Mumbai Indians
Pune,2012-04-26,Pune Warriors,281.0,CL White,1,2012,bat,Deccan Chargers,Subrata Roy Sahara Stadium,Deccan Chargers,Deccan Chargers
Delhi,2012-04-27,Delhi Daredevils,282.0,V Sehwag,1,2012,field,Mumbai Indians,Feroz Shah Kotla,Mumbai Indians,Delhi Daredevils
Kolkata,2012-04-28,Kolkata Knight Riders,283.0,G Gambhir,1,2012,bat,Kolkata Knight Riders,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders
Chennai,2012-04-28,Chennai Super Kings,284.0,Mandeep Singh,1,2012,bat,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,Kings XI Punjab
Delhi,2012-04-29,Delhi Daredevils,285.0,V Sehwag,1,2012,bat,Delhi Daredevils,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils
Mumbai,2012-04-29,Mumbai Indians,286.0,DW Steyn,1,2012,field,Mumbai Indians,Wankhede Stadium,Deccan Chargers,Mumbai Indians
Chennai,2012-04-30,Chennai Super Kings,287.0,G Gambhir,1,2012,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,Kolkata Knight Riders
Jaipur,2012-05-01,Rajasthan Royals,288.0,P Negi,1,2012,bat,Rajasthan Royals,Sawai Mansingh Stadium,Delhi Daredevils,Delhi Daredevils
Cuttack,2012-05-01,Deccan Chargers,289.0,KC Sangakkara,1,2012,bat,Deccan Chargers,Barabati Stadium,Pune Warriors,Deccan Chargers
Bangalore,2012-05-02,Royal Challengers Bangalore,290.0,Azhar Mahmood,1,2012,field,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,Kings XI Punjab
Pune,2012-05-03,Pune Warriors,291.0,SL Malinga,1,2012,bat,Mumbai Indians,Subrata Roy Sahara Stadium,Mumbai Indians,Mumbai Indians
Chennai,2012-05-04,Chennai Super Kings,292.0,SK Raina,1,2012,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,Chennai Super Kings
Chandigarh,2012-05-05,Kings XI Punjab,293.0,SR Watson,1,2012,bat,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,Rajasthan Royals
Kolkata,2012-05-05,Kolkata Knight Riders,294.0,SP Narine,1,2012,bat,Kolkata Knight Riders,Eden Gardens,Pune Warriors,Kolkata Knight Riders
Mumbai,2012-05-06,Mumbai Indians,295.0,DR Smith,1,2012,field,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,Mumbai Indians
Bangalore,2012-05-06,Royal Challengers Bangalore,296.0,AB de Villiers,1,2012,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Deccan Chargers,Royal Challengers Bangalore
Delhi,2012-05-07,Delhi Daredevils,297.0,JH Kallis,1,2012,bat,Delhi Daredevils,Feroz Shah Kotla,Kolkata Knight Riders,Kolkata Knight Riders
Hyderabad,2012-05-08,Deccan Chargers,298.0,Mandeep Singh,1,2012,field,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,Kings XI Punjab
Pune,2012-05-08,Pune Warriors,299.0,SR Watson,1,2012,bat,Pune Warriors,Subrata Roy Sahara Stadium,Rajasthan Royals,Rajasthan Royals
Mumbai,2012-05-09,Mumbai Indians,300.0,CH Gayle,1,2012,field,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore
Hyderabad,2012-05-10,Deccan Chargers,301.0,DA Warner,1,2012,bat,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,Delhi Daredevils
Jaipur,2012-05-10,Rajasthan Royals,302.0,BW Hilfenhaus,1,2012,field,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings,Chennai Super Kings
Pune,2012-05-11,Pune Warriors,303.0,CH Gayle,1,2012,field,Pune Warriors,Subrata Roy Sahara Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore
Chennai,2012-05-12,Chennai Super Kings,304.0,BW Hilfenhaus,1,2012,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,Chennai Super Kings
Kolkata,2012-05-12,Kolkata Knight Riders,305.0,RG Sharma,1,2012,bat,Mumbai Indians,Eden Gardens,Mumbai Indians,Mumbai Indians
Chandigarh,2012-05-13,Kings XI Punjab,306.0,DJ Hussey,1,2012,bat,Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",Deccan Chargers,Kings XI Punjab
Jaipur,2012-05-13,Rajasthan Royals,307.0,A Chandila,1,2012,bat,Rajasthan Royals,Sawai Mansingh Stadium,Pune Warriors,Rajasthan Royals
Bangalore,2012-05-14,Royal Challengers Bangalore,308.0,AT Rayudu,1,2012,field,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,Mumbai Indians
Kolkata,2012-05-14,Kolkata Knight Riders,309.0,MEK Hussey,1,2012,field,Chennai Super Kings,Eden Gardens,Chennai Super Kings,Chennai Super Kings
Delhi,2012-05-15,Delhi Daredevils,310.0,UT Yadav,1,2012,bat,Kings XI Punjab,Feroz Shah Kotla,Kings XI Punjab,Delhi Daredevils
Mumbai,2012-05-16,Mumbai Indians,311.0,SP Narine,1,2012,field,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Kolkata Knight Riders
Delhi,2012-05-17,Delhi Daredevils,312.0,CH Gayle,1,2012,field,Delhi Daredevils,Feroz Shah Kotla,Royal Challengers Bangalore,Royal Challengers Bangalore
Dharamsala,2012-05-17,Kings XI Punjab,313.0,AC Gilchrist,1,2012,field,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Chennai Super Kings,Kings XI Punjab
Hyderabad,2012-05-18,Deccan Chargers,314.0,DW Steyn,1,2012,bat,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,Deccan Chargers
Dharamsala,2012-05-19,Kings XI Punjab,315.0,UT Yadav,1,2012,field,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,Delhi Daredevils,Delhi Daredevils
Pune,2012-05-19,Pune Warriors,316.0,Shakib Al Hasan,1,2012,bat,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Kolkata Knight Riders,Kolkata Knight Riders
Hyderabad,2012-05-20,Deccan Chargers,317.0,DW Steyn,1,2012,field,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,Deccan Chargers
Jaipur,2012-05-20,Rajasthan Royals,318.0,DR Smith,1,2012,bat,Rajasthan Royals,Sawai Mansingh Stadium,Mumbai Indians,Mumbai Indians
Pune,2012-05-22,Delhi Daredevils,319.0,YK Pathan,1,2012,bat,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Kolkata Knight Riders,Kolkata Knight Riders
Bangalore,2012-05-23,Chennai Super Kings,320.0,MS Dhoni,1,2012,field,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,Chennai Super Kings
Chennai,2012-05-25,Delhi Daredevils,321.0,M Vijay,1,2012,field,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Chennai Super Kings
Chennai,2012-05-27,Kolkata Knight Riders,322.0,MS Bisla,1,2012,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders
Kolkata,2013-04-03,Kolkata Knight Riders,323.0,SP Narine,1,2013,field,Kolkata Knight Riders,Eden Gardens,Delhi Daredevils,Kolkata Knight Riders
Bangalore,2013-04-04,Royal Challengers Bangalore,324.0,CH Gayle,1,2013,field,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore
Hyderabad,2013-04-05,Sunrisers Hyderabad,325.0,A Mishra,1,2013,field,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",Pune Warriors,Sunrisers Hyderabad
Delhi,2013-04-06,Delhi Daredevils,326.0,R Dravid,1,2013,bat,Rajasthan Royals,Feroz Shah Kotla,Rajasthan Royals,Rajasthan Royals
Chennai,2013-04-06,Chennai Super Kings,327.0,KA Pollard,1,2013,bat,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,Mumbai Indians
Hyderabad,2013-04-07,Sunrisers Hyderabad,328.0,GH Vihari,2,2013,bat,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,Sunrisers Hyderabad
Pune,2013-04-07,Pune Warriors,329.0,M Vohra,1,2013,bat,Pune Warriors,Subrata Roy Sahara Stadium,Kings XI Punjab,Kings XI Punjab
Jaipur,2013-04-08,Rajasthan Royals,330.0,SK Trivedi,1,2013,field,Kolkata Knight Riders,Sawai Mansingh Stadium,Kolkata Knight Riders,Rajasthan Royals
Bangalore,2013-04-09,Royal Challengers Bangalore,331.0,V Kohli,1,2013,bat,Sunrisers Hyderabad,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore
Mumbai,2013-04-09,Mumbai Indians,332.0,KD Karthik,1,2013,bat,Mumbai Indians,Wankhede Stadium,Delhi Daredevils,Mumbai Indians
Chandigarh,2013-04-10,Kings XI Punjab,333.0,MEK Hussey,1,2013,field,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Chennai Super Kings
Bangalore,2013-04-11,Royal Challengers Bangalore,334.0,CH Gayle,1,2013,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore
Pune,2013-04-11,Pune Warriors,335.0,AJ Finch,1,2013,bat,Rajasthan Royals,Subrata Roy Sahara Stadium,Rajasthan Royals,Pune Warriors
Delhi,2013-04-12,Delhi Daredevils,336.0,A Mishra,1,2013,bat,Delhi Daredevils,Feroz Shah Kotla,Sunrisers Hyderabad,Sunrisers Hyderabad
Mumbai,2013-04-13,Mumbai Indians,337.0,RG Sharma,1,2013,bat,Mumbai Indians,Wankhede Stadium,Pune Warriors,Mumbai Indians
Chennai,2013-04-13,Chennai Super Kings,338.0,RA Jadeja,1,2013,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Chennai Super Kings
Jaipur,2013-04-14,Rajasthan Royals,339.0,JP Faulkner,1,2013,field,Rajasthan Royals,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals
Kolkata,2013-04-14,Kolkata Knight Riders,340.0,G Gambhir,1,2013,bat,Kolkata Knight Riders,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders
Chennai,2013-04-15,Chennai Super Kings,341.0,SPD Smith,1,2013,bat,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Pune Warriors,Pune Warriors
Chandigarh,2013-04-16,Kings XI Punjab,342.0,MS Gony,1,2013,field,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,Kings XI Punjab
